video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=owz2JyWMwkE&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@laistahir,Lais,"ULTIMATE Hoi An Vietnam Travel Guide 2026 - What to do in Hoi An, Vietnam",145K,1 year,"vietnam #hoian #travel Discover Hoi An Vietnam in this One-day travel documentary, perfect for first-time visitors. How to Spend a ...",2026-01-21 22:43:30.820682
/watch?v=CM_PAqBUiew&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@AdventuresofAplusK,Adventures of A+K,"The ULTIMATE 3 days in Hoi An, Vietnam | Ancient Town, basket boats, lantern making, & MORE!",412K,2 years,"Planning a trip to Vietnam? Check out our Vietnam eBook: https://adventuresofaplusk.com/vietnam-ebook/ We made it to Hoi An, ...",2026-01-21 22:43:30.822783
/watch?v=l2QXlbsA33g&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@neek_and_kiel,Neek and Kiel,"Da Nang and Hoi An Vietnam | Food, Coffee, Old Town Vibes & Culture",19K,3 weeks,Da Nang and Hoi An Vietnam completely surprised us - from a Michelin-rated meal and riverside coffee culture in Da Nang to the ...,2026-01-21 22:43:30.824700
/watch?v=4XIAXqCAIVs&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@ExoticVacation,Exotic Vacation,How to Spend 2 Days in HOI AN Vietnam  | Travel Itinerary,66K,1 year,"Ready to dive into the magical atmosphere of Hoi An, Vietnam? We're excited to guide you through the ultimate two-day ...",2026-01-21 22:43:30.826571
/watch?v=9zMH-fGWhXU&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@travelsfromyesterday,Travels from Yesterday,"HOI AN, VIETNAM: A No-Fluff Travel Guide (2026)",54K,1 year,"If planning your trip to Vietnam feels overwhelming, get in touch with our friend Adam! He's been a tour guide all over Vietnam and ...",2026-01-21 22:43:30.828760
/watch?v=73E9TzGcB4E&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@beforeyougotravel,Before You Go,Hoi An Vietnam Travel Guide: 11 BEST Things To Do In Hoi An,281K,2 years,How to find cheap flights and travel more: https://travelforalmostfree.com/ref=beforeyougo2 // This Hoi An travel guide shares the ...,2026-01-21 22:43:30.829965
/watch?v=lz_4jd69jO0&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@erikssc,travel by erikssc,"HOI AN, Vietnam - The Essential - Tours, Shopping, Food, Nightlife",124K,1 year,In this video I give all the information you need for your first visit to Hoi An in Vietnam. I will show you around the city centre with ...,2026-01-21 22:43:30.831700
/watch?v=hhM2v_JQ5TQ&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@adamandyaz,Adam & Yaz,"What It’s REALLY Like To Visit Hoi An, Vietnam (Our HONEST Review)",78K,7 months,"Get Your LEVEL 8 Luggage https://bit.ly/level8adamandyaz Use code ""A&Y10"" for 10% off! We've finally made it to the city of ...",2026-01-21 22:43:30.833366
/watch?v=8v1rb8kPE3k&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@PaddyDoyle.,Paddy Doyle,the BEST of HOI AN 🇻🇳 VIETNAM by MOTORBIKE Ep:20,230K,3 years,Get the COMPLETE Vietnam Travel Guide here - https://tinyurl.com/3rw3zetk USE CODE - VIETNAM5 for $5 OFF whilst ...,2026-01-21 22:43:30.834675
/watch?v=cm50M7kCV98&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@4KWorldWandering,World Wanderings: 4K Walking Tours,"HOI AN, Vietnam Walking Tour (UNESCO World Heritage Site) 🇻🇳 Hộian Vietnam Lantern Town 4K HDR",89K,1 year,"Join me on a mesmerizing 4K walking tour through the enchanting streets of Hoi An, Vietnam! This city is a visual feast, brimming ...",2026-01-21 22:43:30.836301
/watch?v=JiLbF9V7kXs&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@geotrails.official,GeoTrails,Hoi An Vietnam Travel Guide - Things to do in Hoi An Vietnam,2.4K,4 months,"Discover the charm and magic of Hoi An with this Hoi An Vietnam Travel Guide! From lantern-lit streets to peaceful boat rides, this ...",2026-01-21 22:43:30.837779
/watch?v=uqid6ygxneQ&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@JooseTheNomad,Joose the Nomad,"HOI AN, VIETNAM First Impressions - Better than DA NANG?",78K,10 months,"In this vlog, I show you how Hoi An, Vietnam is now! Watch until the end to see how everything is in this magical beach town like ...",2026-01-21 22:43:30.839338
/watch?v=T4hrKJ2odIE&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@TravelEscapesVlogs,Travel Escapes,1st Day in Hoi An Vietnam 🇻🇳 (Worth the Hype?),116K,3 months,"Is Hoi An Vietnam Overrated? Hoi An, Vietnam is one of the most popular towns in Vietnam. It's known for the photogenic colonial ...",2026-01-21 22:43:30.840836
/watch?v=dB0669Ef8kA&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@FloraandNote,Flora and Note,"First Day in HOI AN, VIETNAM 🇻🇳 It's So Beautiful Here!",234K,2 years,"If you're interested in booking the same tour that we did, check it out here: https://bit.ly/floraandnoteHoiAn It's our first day in Hoi An ...",2026-01-21 22:43:30.844115
/watch?v=sEN_cw1vRd0&t=915s&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@oldaloneandfarfromhome,"Old, Alone and Far From Home",Hoi An: Is This Vietnam's Most Beautiful Town?,19K,8 months,"People who have been to Hoi An, Vietnam rave about the town. After visiting, count me as a member of that group. There is ...",2026-01-21 22:43:30.846221
/watch?v=6UWeYN1V2pQ&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@PuriandSue,Puri and Sue,22 Things to do in Hoi An and Da Nang - 5D4N Itinerary | Vietnam,624K,2 years,"Hoi An and Da Nang is one of the top travel destinations in Vietnam. In this video, we spent 5 days and 4 nights exploring the ...",2026-01-21 22:43:30.848108
/watch?v=b3Sy3QhNdqY&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@DianaNevenTravel,Diana Neven,Exploring Hoi An Vietnam 🇻🇳 Best Street Food & Things to do ! Travel Guide 2025,16K,3 months,"Here are the best things to do in Hoi An , Vietnam Travel Guide: Step into the magic of Hoi An, Vietnam In this travel vlog, we ...",2026-01-21 22:43:30.849691
